"","x"
"232","@Ana_Almaden8276 @LeoDiCaprio BTW, Trump is nominating the pro-pipeline/fossilfuel McNamee to FERC. His stance will only exacerbate the climate change problem &amp; delay any  progress towards renewable NRG. We have to urge the Senate to deny him a seat. Please sign &amp; share the petition:
https://t.co/VNF6W89pVl"
"233","@Silent75457052 @SenSchumer This is a business and a huge part of the economy. Actors have families to feed too. Lots of people that arent actors are employed by theaters. We havent been able to operate AT ALL"
"234","@SenFeinstein Instead of a stupid Space Force we need a national firefighting brigade."
"235","@RARohde @GretaThunberg Natrlich erwrmt sich die #Arktis strker, weil die #Albedo immer schwcher wird. Genau genommen erwrmt die Arktis unseren Planeten (und nicht das #CO2). #klimawandel #Klima"
"236","@LeoDiCaprio @Refugees Yeah man...
It's insanely hot and humid in Bangladesh... 
and no good amount of rain and the worst part of it is, rain is not able to cool the Mother Earth..
It's f***ed up"
"237","@ErikSolheim @prabhatmisra Great sir ,real hero dedicated his life for gauraiya saving .So proud of u .this mission Now become global"
"238","@LeoDiCaprio @dicapriofdn @World_Wildlife "
"239","@SenSanders #GreenNewScam The new tax money grab game. https://t.co/RpYIaZ4veM"
"240","@grumpcentral @Mark_Butler_MP Just because you dont understand he words doesnt mean the rest that do are idiots. Id look in the mirror Grumpy"
"241","@mark_lynas Catastrophe!"
"242","@Mark_Butler_MP Australia's Ecological Footprint is comprised by the mismanagement of Natural Capital and the exploitation of managed Environmental Capital; eg farmland, parks etc. We have no policy for a DER powered grid, no national energy efficiency policy &amp; no zero carbon cities plan"
"243","@AngusTaylorMP Angus thats just lame !!!!"
"244","@chelliepingree @sunjournal Chellie, 

Quick tip: raising taxes and telling them how to run their businesses isn't empowering farmers. The #greennewdeal would crush them. You're their enemy and you think they're too stupid to realize it."
"245","@antonioguterres @DolceVendetta1 https://t.co/95EiFWulkw"
"246","@BenGoldsmith So does this mean we now need more  wolfs and lynx then we have people that shoot?"
"247","@SenSchumer @SenMarkey Ive never reached out in this way but one of my twin boys is going to need a lot of medical care soon. I dont have many followers so Im asking any like-minded progressives to help out a brave and awesome little boy. Thank you so much! 
https://t.co/XRIHSRTlg8 @gofundme"
"248","@ClimateHuman Like your profile pic."
"249","@algore Haha you globalalist fraud !! The people are waking up . https://t.co/oWRvnnfe54"
"250","@Katie21064482 @GeorgeMonbiot By hanging them like this they hope birds of prey jump on them and get entangled in the wired fence."
"251","@JustinTrudeau @sugawitter Hi Sir"
"252","@BPDwaster @NamugerwaLeah @Fridays4FutureU @Fridays4future @GretaThunberg @CFigueres @chelseaperetti @AlexandriaV2005 @Jamie_Margolin @israhirsi @Hs2Rebellion Yes, up to 88bn (borrowed, which HS2 pays off via its revenue and economic benefits) and affecting 0.008% of Britain's ancient woodland."
"253","@JakopDalunde @mark_lynas @_JoseGonzalez_ The most cost-efficient Swedish electricity system is to continue running exciting nuclear and hydro power together with an increased amount of wind power. In 2045 Sweden needs a system that can deliver at least 200TWh - a cost-efficient system includes 1/3   "
"254","@SenSanders Yeah, because rail cars and tanker trucks are better for the environment. @SenSanders claims to fight for the working class, but these symbolic fights just increase the costs of energy for everyone. Increased energy costs hurt those on the bottom who spend a higher % of $ on fuel"
"255","@TomSteyer We need to treat women in a fashion that builds their confidence instead of defining what they can and cannot do. We are impeding our success by not treating them with the respect they deserve and negating their ability to contribute to society on all levels ."
"256","@RHarrabin @ECIU_UK @CarbonBrief @RHarrabin already said, UK steel market could make green steel with H2 and electricity, not coal - Sweden and Abu Dhabi will be operating before South Wales. Also conflict with future radioactive waste excavations #Sellafield 
 https://t.co/JL6gr2u0l9, https://t.co/pLt7N74jqL"
"257","@SenSchumer Andrew Cuomo has abused his power and destroyed the trust placed in the office of governor. Prosecution and impeachment discussions must begin right away."
"258","@logomomo @armistead_harry @CarolineLucas Which would be more understandable if the majority of the coking coal wasnt being exported "
"259","@AngusTaylorMP https://t.co/Q5EckvEkid"
"260","@ed_hawkins https://t.co/zm3uPormKc"
"261","@eightkid @SenSchumer Go away eightkid with your garbage posts. Trump could more of your help then. Americans want to get on with more positive things to worry about!"
"262","@antonioguterres @NisreenElsaim @VladislavKaim @SophiaKianni @Nathan_Metenier @pcopaloma @SorengArchana https://t.co/Ik1huN3bcj"
"263","@Mark_Butler_MP @ScottMorrisonMP Hard to see how Labor is much better given your plans to unlock massive gas fields in the north. When will you stop taking donations from the fossil fuel industry?"
"264","@ShellenbergerMD @NickdeCusa @Madi_Czerwinski Strange. If you go to Bouyouye Senegal, a small village of 300 people, they only use 100 m2 of PV for all needs. 0,1% space of the village. @DamienERNST1 @EdoraFed @marcelsel"
"265","@SecretaryPerry @ENERGY @SecPompeo is lying. @realdonaldtrump is lying.
@SecretaryPerry is lying."
"266","@Mark_Butler_MP @Vic_Rollison @theprojecttv The ink would be wasted on any ballot paper with an endorsement for these selfish vandals.  Get rid of them because their neglect borders on treason against Australia"
"267","@GretaThunberg A small peice  of advice to you, join  a school &amp; get proper education first. Stop interfering other countries internal matters. Stop showing fake environmental lovers, , millions like u do silent work, without being paid."
"268","@cathmckenna Seriously?  How is this a priority?  Indigenous people looking for solutions for years and NOTHING!  How are these actions creating sustainable jobs?  What job do they go to after they're built?  Do you actually think these things through?"
"269","@BillGates @btenergy  https://t.co/uax25h5O8H"
"270","@SenSanders what kind of pathetic obsessive clown cheats for trump. I honestly dont mind cheaters and traitors but theres just something about trump suckers like you that makes me want to puke"
"271","@SenWhitehouse I don't get it. The rich could be taxed the same as the rest of us and they would STILL be wildly wealthy."
"272","@Family_1st_4EvR @TheQuartering @NYGovCuomo Why?  He said ""Fuck Grandma"" https://t.co/WsfcjeiXK8"
"273","@SenWhitehouse Not asking arrogant, 
Tell me why Natural gas is not a good option? 
Is it not clean Burning?
Is it a in between option? 
The last one to wean off from? 
The plan needs to be;
How we Transition too 
Clean Energy."
"274","@GretaThunberg https://t.co/hc14ENDW6T"
"275","@ChrisScalf @algore @ClimateDepot @JerryBrownGov #MediaLiteracy = realizing you are using a MARKETING FIRM and their bloggers that for decades told you to keep smoking and vaping.  #MerchantsofDoubt https://t.co/vtwPZfPXTa"
"276","@belsonblues @Diane35828116 @JustinTrudeau @snowstormyou @POTUS @JoeBiden Enjoy socialism dude watch your economy tank"
"277","@DrKateMarvel This question is why I continue to support a #PriceOnPollution w/Carbon Dividends as the most sustainable &amp; effective climate solutions catalyst. Clean dishes become a win-win for all!"
"278","@PaulEDawson @petergalvin1_l Criminal conduct! Class action or shareholder action required."
"279","@ErikSolheim @chenweihua China&gt;USA"
"280","@GretaThunberg Ill take your helpin https://t.co/BqUtXAHIZ7"
"281","@bpmcavoy @drvolts The UK group @Love_plants has a cool initiative called No Mow May:

https://t.co/goW3EUAyPN"
"282","No, low, or high overshoot, whatever you want to call your 1.5C scenario, they all have huge implications for land.

Shell Sky is by no means an outlier.

Brazil is ~850Mha. The four IPCC illustrative pathways all cross that in 2100, even double it.

https://t.co/ulmS3vwl8f
5/ https://t.co/bGpxhVBfaB"
"283","@ALEXISBOIVIN9 @MariaMgroz @MaxHydeInPlace @AOC @theJagmeetSingh Speaking as a Canadian, I have seen no evidence of this."
"284","@antonioguterres @UN So far we have seen how cruel and devastating Corona Virus could be.
But Covid-19 is not the biggest pandemic yet come.
Spanish Flu which infected 500 Millions of peoples and killed between 50 Millions peoples.
What we learnt?
Read the full blog at 
https://t.co/rGLr4vNT74"
"285","@pitbullracing32 @algore @traecrowder Ronald Reagan BANNED the CFC air pollution when NASA/EPA told him about it.  SAME NASA that's still warning us about GHG pollution. 

On the bright side...updating infrastructure to something NEWER than burning rocks from the horse and buggy days, PAYS FOR ITSELF +  SAVES $$. ;)"
"286","@JustinTrudeau Bahahah"
"287","@LeoDiCaprio Did you  hear the good news @LeeWhiteCBE has been appointed the Environmental minister in  Gabon. Really good for West Africa."
"288","@alxrdk @ed_hawkins Thank you for the response. I will not use it (yet) for print products, but in a MS-powerpoint presentation it is hard to read (although still possible) the timeline legends in small letters. But I believe you are right, I will go with it. Thank you for responding."
"289","@Mark_Butler_MP Congratulations on Labor's plan to convert our submarines to full electric power ........ Charged by SOLAR."
"290","@ratala11 @vicki_provan @UNFCCC @ImpossibleFoods @nikolajcw Following 4 foods are not associated with CVD:

1) unprocessed meat
2) eggs
3) whole fat dairy
4) dark chocolate

https://t.co/zkd2B7a3S4"
"291","@GretaThunberg This gal is fake . She dont have brain. She sold herself for money. India exposed her. Search on google"
"292","@cathmckenna @MarkJCarney Nobody believes a word you say."
"293","@SenSchumer We also want federal legalization please and thank you"
"294","@antonioguterres Please sir I hard promise that I always want to become investigation/inquiry and interview and debate and interaction social media anytime and anywhere I promise that I can never change my final decision sir minimum Rs20,000crs from Rafale for educational institution and industry"
"295","@MikeBloomberg @HouseDemocrats @USRepKCastor @MikeBloomberg  Can you support this help campaign?
https://t.co/AABoN5PKj9"
"296","@EDavidAn @saha_Shoubhik1 @marcusdotM @GretaThunberg Now, the fake farmers protesting in Delhi NCR are blocking highways and holding the city to ransom for 3 months .. &amp; here are their demands, all ridiculous but just focus on the highlighted ones https://t.co/91mRmRvagy"
"297","@BillGates Very very good"
"298","@Urraca03014086 @miketheboy3 @mark_lynas @XRebellionUK Plenty of those now born will live to 2100, through the consequences of our present choices:
#ActNow"
"299","@antonioguterres CCTV footage of the body disappearing last night at 86 Mandalay Road

 Please share so that the relevant people can see it
 Please tweet .
#SaveMyanmarDemocracy 
#WhatsHappeningInMyanmarNow https://t.co/qwg63lt9eg"
"300","@Solidnica1 @JustinTrudeau Beats the alternative"
"301","@F0rg0tt3nW0rld @MikeHudema And more brainstorming and  ideas to keep moving forward in a positive direction....thanks...."
"302","@COP26 @UNFCCC @antonioguterres @AlokSharma_RDG @DominicRaab Not opening new coal mines or building new runways might be a start..."
"303","@kuminaidoo This is the playbook for govts and corps now - we need powerful and creative ways to respond. Maybe it is just numbers? Hong Kong give me hope"
"304","@algore  need advice"
"305","@MaryNicholsCA @Automotive_News @AirResources Congrats and so well deserved!"
"306","@SenSchumer @SenateDems @latelateshow Besides Alzheimers; Biden cant walk up stairs without falling! Our military must keep Looney Biden away from Nuclear Launch Codes after screwing up Vaccine rollout &amp; Border Crisis! Harris is even more nuts than Biden, so lets do Special Election &amp; get Trump back &amp; finish wall!"
"307","@GretaThunberg @FFFbalochistan @AWIs4Future @FridayForFuture @FFF_SierraLeone Greta See This https://t.co/ArO7WqH1Bx"
"308","@BillGates This question will help all the Sisters and Mothers in this World to SET Indecent Men's mind at proper place to get Women's empowerment and gender equality.

This question will help a lot to eradicate poverty and AIDS also."
"309","@Sgt_Patterson @MSR_Future @AdamBandt Is backing yourself so much into a corner that all you hear from advisers is to back those wrecking industries?"
"310","@antonioguterres @UN Yeah Thanks the USA for the fireworks.... the one still rule the world after so much horrors, yesterday .. today and surely tomorrow, do something or just reform the UN"
"311","@capnstarlight @brendan_galway @AdamBandt IPCC. Dear Oh dear. The IPCC was set an agenda. It is so far from independent as is possible."
"312","@In_My_Tree @algore @TheDemocrats He needs to worry about the candidate who has the best chance to unseat Trump."
"313","@Hankers @cathmckenna Never confuse stupidity with malice. Don't underestimate these people."
"314","@SenSchumer @ChrisMurphyCT I think your a little late getting the American people help with the cash they need hell they need more money already you better start another stimulous package you let these republicans get away with anything and everything !"
"315","@SenSchumer https://t.co/3oPALjRO9V"
"316","@GovInslee @AGOWA Debate Culp again!!!!!That was fun watching you get your ass kicked:)!!"
"317","@SenWhitehouse Bypass #MoscowMitch and bring bills directly to the floor. Starting with getting rid of the filibuster"
"318","@EricHolthaus Blows my mind that eco centric people want to throw away the one thing that incentivizes renewable energy over anything else in this world. If you can turn energy into money, crypto is like a battery store of energy given to use from the world. Look at Christmas lights impact."
"319","@GovInslee @JayInslee https://t.co/2iOVDoZOLk"
"320","@DFish1234 @JamesAnglicus @musicfoodlife2 @Bergeonline @AdamBandt Whatevs, man. The point remains countries can impact climate. Youre wrong."
"321","@OldSchoolGamerP @algore @Ben_Geman @axios no one is entitled to be ignorant about words &amp; their use even if one is considered as ""stupid"". ""Only two things are infinite, the universe and Human stupidity"" ~ Albert Einstein"
"322","@LeoDiCaprio @GlobalWildlife @InsideNatGeo @IUCN @RhinosIRF @WWF @joelsartore Lindooooo! https://t.co/abbLUlyZXi"
"323","@dosafyre @CaptainHoosier @Aamazon1 @algore @IndivisibleTeam @NASAClimate Read up on the  Azolla event the world can regulate itself, faster swings in co2 levels have happened before. https://t.co/WqpjLrqZHR"
"324","@AdamBandt @GreatGasScam Plus, he's just a very, very dumb man"
"325","@CFoster76 @susanstewart20 But unenforced.  

I wrote about this recently. Councils decide not to do anything, so it's a pointless law. 

https://t.co/AxtUwUfq7b"
"326","@GretaThunberg @mehdirhasan @MehdiHasanShow @MSNBC A thought about things I know long before the turn of the 2000 year marker.... https://t.co/ahRuxLBbrE"
"327","@SenWhitehouse @JohnKerry Really not a good image to pick Kerry don't you think? I mean with the connection between their sons and the China thing...."
"328","@WalczakJim @official_dkelly @AOC Trump had THAT fixed. We WERE self sufficient, NOW Now."
"329","@George62989794 @eemc2 @ByrumNic @browndoog_ @GretaThunberg @UNEP It's their propaganda you're repeating like the sheep on Manor Farm."
"330","@JeremyLeggett @PaulDJohnston Cost"
"331","@MikeHudema Nature is really amazing. I hope everyone will protect it! @jovs_98 #ENRM25212020"
"332","@JeromeFosterII @Kisanektamorcha
@KissanZindabad
@RaviSinghKA

""The Power Of People Is Greater Than People In Power""
#StandUnited

#FarmersProtest #ClimateAction
#RepealFarmLaws
#FarmersAboveReligiousHate 
#HumanRightsViolations 
#FreeNodeepKaur
#FreeShivKumar
#ClimateEmergency 
#ClimateCrisis"
"333","@ElectCDavis @GovInslee THERE ARE NO FORESTS HERE, PEOPLE!  Look at a map!  FARMS!!!!"
"334","@DoubleZero_6 @KarlAlexPauls @GretaThunberg Why should they be less expensive? Theyre smaller, but you need more of them. Add all costs and you save nothing. Still more expensive than renewable power.
Safer then renewable energy?? Sorry, not true. 
If we use all the potentials of renewables, we dont need nuclear power"
"335","@BillGates Agree @BillGates now for us smaller Pacific nations is it possible for the Bill &amp; Melinda Gates foundation to establish such as system as this: https://t.co/eOFDe9ZWes"
"336","@NYGovCuomo Shut up. Grow up cuomo and quit killing the elderly and damaging NY."
"337","@AngusTaylorMP @AlboMP @CERegulator I wouldn't trust a single word out of your mouth or you in any capacity."
"338","@PatriciaCLee @GretaThunberg https://t.co/gvC8NM8wT4"
"339","@RHarrabin Next task, put strict carbon footprint T&amp;Cs into the contracts it signs with any company wishing to advertise on its platforms."
"340","@algore @MunichRe Stop u idiot."
"341","@MikeBloomberg @denniallen @TXforMike Trump won't release his tax returns.  Will you release people from the NDAs?  If not, you're just like trump."
"342","@SenSchumer We need bold action to remove Chuck Schumer for supporting protests by Democrats.
https://t.co/Qwhx86OJA9"
"343","@Deepak_2035 @AOC @NancyMace Perhaps someone should have believed Tara Reade then https://t.co/iE0vAXZrF8"
"344","@adamvaughan_uk @James_BG @RobertJenrick Bristol airport too please!"
"345","@SenSchumer If Democrats pass this bill  I prophecy that next year 2022 they will win more seats  and will continue to keep the house and senate fir the next 4-8 years Americans will reward democrats for this"
"346","@GretaThunberg Meanwhile in America we have actual terrorists promoting violence and they get to go home like nothing happened."
"347","@algore Please Retweet:

John Lewis ""The vote is precious....and we must use it

https://t.co/fdkclP2M9D

Georgia registered? 

US Senate Runoffs - Vote from anywhere in the world

Request your ballot. 

CourierNOW to track through holiday rush. 

Early voting is open. VOTE"
"348","@SenSchumer You are the climate crisis!"
"349","@BillGates Off course !!!"
"350","@Mark_Butler_MP @PatConroy1 F**kwits. What next you will dance in the streets naked with your Extinction Rebellion buddies blocking Traffic?"
"351","@Jamie_Margolin @LicypriyaK .."
"352","@TheBenKimberlin @amandalorian135 @meadowsalestech @AOC @JohnLaprise @NancyMace Pathetic? Look in the mirror. I'm insulting you because you tried to insult me. You're like a bad cold, or cancer. I'm not going to make you intelligent, rational or even well balanced. So nothing more to say here. Grow TF up and run along or get blocked."
"353","@SalzInDerWunde @420legalizenow @GretaThunberg Hat mit modernem Life Style nichts zu tun.
Meine Meinung."
"354","@ClaraPorta4 @LeoDiCaprio @rmartinledo @nature @4ocean does a really immense work in the ocean  I support this job!"
"355","@cathmckenna @erinotoole Canadians are looking for new leadership"
"356","@SenMarkey https://t.co/o3YqUyc6Q0"
"357","@Mark_Butler_MP Good on you for speaking up @Mark_Butler_MP "
"358","@ai_environment @MikeHudema https://t.co/wqZBpq8ulc
The green lines are renewables

Interestingly, the numbers do not match the wikipedia entry at all (look at the proportions for coal vs oil) https://t.co/LOxJIoZgs9"
"359","@algore Yep, Exactly like man made climate change during the first ice age."
"360","@MikeBloomberg #Invest in #Texas we need all the help we should be more #Offices sending out more #MailBallot applications help #TurnTexasBlue  #Election2020 "
"361","@AssaadRazzouk @IRENA Go Ass!! BHP loves climate change. With your help we can turn the entire planet into a quarry!! Who cares for such stupid concepts as energy density. I am long miners so thanks brother!!!"
"362","@PaulEDawson The interconnection of #SocialJustice and #EnvironmentalJustice is a #Fact! Isn't it @elonmusk @BillGates @JeffBezos &amp; friends? #ActOnClimate https://t.co/KfDGqvMILt"
"363","@QldProgressive @Mark_Butler_MP @CC_Yale Name one thing in the environment that has been destroyed by C02."
"364","@LeoDiCaprio @Lupita_Nyongo @Discovery @HKigwangalla 
 #Tanzania #UnforgettableTanzania #Serengeti"
"365","@SenSanders Trump 2020!!!"
"366","@AngusTaylorMP Morally and ethically bankrupt misogynist politicians should be cancelled."
"367","@LeoDiCaprio Are you Ethan Hawke? The same role, as painter, in ""Titanic"" &amp; ""Great Expectations""."
"368","@algore @washingtonpost will you travel around in your private jet or drive a prius like the peseants to show u really care?"
"369","@TaotaoSalupa @GovInslee Or some other means of exchange. Money is a social construct. We reject that that someone should be an employer, and that labor should be sold for wages."
"370","@SteveTiger999 @MikeBloomberg The question is: who's problems will he be solving?"
"371","@_PhilipElder_ @SenSanders For gods sake read the science before your finger hits the phone Philip. However the fires are started - accident or arson - they go crazy because of extreme heat thats made everything like tinder. You cant deny a thermometer -  or can you?"
"372","@RORYMELDRUM @antonioguterres @mzjacobson REPUBLICANS EXECUTIVE EXTINCTION EXECUTION

ARCTIC NO LONGER KEEPS NORTHERN HEMISPHERE

COOL COLD OR N FREEZE GRNL &amp; ANTAR DOES

220 FEET OF SEA LEVEL RISE COLLAPSING END 2023 ? 

10F - 80F HOTTER 

REC RAIN WINDS SNOW UNTIL GRNL COLLAPSES
REC HEAT RAIN WI
https://t.co/Q3ShFKqQDJ"
"373","@UNFCCC @ScottDuncanWX Covid is a tiny problem...."
"374","@SenSanders Its not greed, its called demand. Get a clue idiot!"
"375","@antonioguterres @NisreenElsaim @VladislavKaim @SophiaKianni @Nathan_Metenier @pcopaloma @SorengArchana https://t.co/iu6YjzS6DS"
"376","@_Paul_______ @GretaThunberg https://t.co/YxtD0HcWjB"
"377","@BillGates https://t.co/Ym4xxhWXlI"
"378","@AMNH I LOVE HIM! "
"379","@BillGates Has your company is under any such initiatives Bill??"
"380","@NaomiAKlein @GretaThunberg @JoeBiden So disappointing to see such a young, hot man with his head up the ass of the #fossilfuel industry"
"381","@IainTurner5 In the end those emissions have to get to zero though. An ETS doesn't change that

There's way too much fantasising about negative emissions tech and nature solutions at the moment"
"382","@SillyPutty78 @ClimateHuman In the past culture &amp; history has been shaped by farmers. The keepers of the land, who live in accordance with the laws of the land and the laws of the earth. Farming is the highest vocation."
"383","@CoenCBC @GretaThunberg This winter was the same as every ever winter in my life, weather changes all the time sea rises sea lowers, just look at the sunken cities off Japan to see this.. This threat of Global warming used to be threats of the coming ice age when I was a kid in 1960s, Same old con"
"384","@DoctorVive @henrifdrake @chrfield @theNASciences But deployment of SG needs to be looked at as well. It may turn out that we're staring down the barrel of a gun and for risk management reasons a minimal amount of SG is needed. If we don't develop in parallel tech deployment, it may lead to delay resulting in riskier SG later"
"385","@AmyAHarder @axios Sad "
"386","@SparkyOmaha @algore @Yale @GeorgeMasonNews ASK AL WHAT HES DOING IN CHINA, TO STOP POLUTION. HE ONLY WANTS TO TAX US FOR BREATHING AKA CARBON TAX

https://t.co/HZCciUtXFO"
"387","@SenSchumer Stupid .... windmills freeze and snow covered solar panels do nothing!"
"388","@BillGates @TheEconomist Great work sir..."
"389","@MarcosS47995515 @Br1_Cereda Que pas. Se hizo peronista ?."
"390","@jsanch2s @SenSanders @CapaTosta122 Bernie is the only person with the leverage to do this. He is the kingmaker right now."
"391","@SenWhitehouse Maybe we can stop giving a crap about religion and stop letting it into our Civic discourse."
"392","@AOC @theJagmeetSingh SELF INTEREST THATS WHY ""THEY"" SAY IS IMPOSIBBLE IN THE USA."
"393","@GrumpyOLSoldier @Mark_Butler_MP @political_alert @PatConroy1 you sookin ?"
"394","@AngusTaylorMP Forget twitter Angus, demand weekly face to face tv debates.Demolish Labor lies ."
"395","@robbie_andrew Is this different in any way from the Excel files? The files end with v18, the paper SI has versions 0.83 or 0.7 something and i think the ICOS version is v1.0"
"396","@LeoDiCaprio @aussie_ark Thats amazing!! Great news "
"397","@seer116dAult @IrreverentView @SenSanders How vegetables get to store , comrade ?"
"398","@AminaJMohammed @UN @UNYouthEnvoy @unfoundation Sannuki da kokari uwar matasa"
"399","@SenMarkey Forget you ... You are with Pelosi and McConnell the two headed snake..."
"400","@BillGates @TEDTalks 6- I have great respect for all religions

I belong to Software Industry..working in one of the top S/W company for the last 13 yrs...want to contribute in this social Service."
"401","@antonioguterres @UN #FreeIRpoliticalPrisoners 
but i wink at myriad crimes,torture,slay,imprisonment....
in IR ,BECAUSE i am a servile mercenary of left and mullahs!! https://t.co/PjxU6TuNtj"
"402","@Paulkenny79 @ehpabrussels @Sustainable2050 @JMGlachant A EU-wide ETS emissions cap (reducing annually by 2.2% from this year) and the introduction of auctioning (instead of free allocations) have all helped. And there's a post 2008-crash surplus that's being used up. Supply is permanently shrinking. My guess: 60+ by year end."
"403","@coffndrop @GeorgeMonbiot Possibly because the Brexit project has only just begun and teething problems will be many before settling down."
"404","@antonioguterres Let me be crystal clear with you guys, I chose to side with our Beloved @Pontifex  https://t.co/uHTicDmgaV"
"405","@NYGovCuomo @drsplace "
"406","@JeromeFosterII @UN @xiyebastida We may be miles apart sir, but the tremendous support you guys are giving clearly shows Humanity lies above all religion. I wish our government realises this soon otherwise the lives of 2.5 mil students is at stake.
#PostponeJEEAndNEET #NEET2020 @PMOIndia @narendramodi @Swamy39"
"407","@markcojuangco @Mark_Butler_MP It clearly says FY 2013 on the title of the graph. That was a big year for solarPV and not for nuclear power plants. 50s 60s 70s 80s more not so much for PV."
"408","@THEADORADEPLORA @SenSanders The article says it was PARTLY due to that. Global warming was still a major factor as shown by the first half of the article or so."
"409","@BillGates @sapinker Dear Brothers &amp; Sisters, Please give me your blessings to make me able to change this planet in the right direction

Yes...You can address me as a Mad, Deranged or Mental health patient

I'm trying to get the blessings from GOD...but network signal is too low to connect with him."
"410","@No_2_Secularism @ArunGupta4760 @ErikSolheim Well live in your fancy world as everyone has right to dream but don't face reality your country can not provide it's people proper job that's why they have to migrate to India and other countries for a proper job and lifestyle."
"411","@EJinAction More and more the wildfire crises ""look like"" deliberate fires, not controlled at any point in the infernos (no photo of successful firefight), and with no plan for other than what appears to be ""nuclear blasts"". Julie Ann Racino, American Society for Public Administration, 2020"
"412","@LeoDiCaprio @1millionwomen "
"413","@sh92228015 @JustinTrudeau @VP @KamalaHarris @marcomendicino For what will the Canadian government compensate you?"
"414","@ElaurantScott @arealcambion @GretaThunberg Whos burning oil?"
"415","@BillGates @NobelPrize Mister gates ,if you do a good job with vaccines you will have success to reduce 15% of the people.. You are on a very good way evil man"
"416","@EricHolthaus https://t.co/qELi6pLIg7"
"417","@AminaJMohammed @UNEP @andersen_inger Haka yake princess, gaskiya kina daure ni da jijiyoyina. Wankan nan yafi na kullum flower sama rigar tayi aradu, flower taba da ma'ana na soyayya."
"418","@SenSchumer @MartinHeinrich @SenAngusKing @SenMarkey Saving America is a must"
"419","@PaulEDawson @billmckibben My modest contribution to the Canadian debate:

https://t.co/f6X4hKRnK9"
"420","@MikeBloomberg @UNFCCC This is why there is inaction the truth is Mike we are facing human extinction. Our oceans are dying and that means our oxygen. As the earth warms we will lose all oxygen. We will all die"
"421","@JerryBrownGov @SenFeinstein @SenKamalaHarris @CountyofSonoma @CountyofNapa Arizona is with you!"
"422","@GretaThunberg @TimmermansEU #NoMoreEmptyPromises https://t.co/fkoqcjFcH8"
"423","@algore Please, please, please do massive ad campaigns in these states. It has to be very simplified and ways to combat the Koch Bros. propaganda. You have to flip red state people. @TomSteyer please help with $$ @Schwarzenegger"
"424","@MikeHudema @Kazwaz78 Buy #Tesla"
"425","@LeoDiCaprio TY for sharing Leo."
"426","@LeoDiCaprio #e The #power todo #good for our #planet "
"427","@SenWhitehouse @feral_hattie They can afford the best science.  They are masters at risk analysis and portfolio planning. 
They have a climate action plan. It does not involve saving the planet for us... but for them."
"428","@LeoDiCaprio @nowthisnews It makes sense. According to the biology the bacterias or virus evolve, as if they create families. Particularly a virus which isnt neither death nor alive, it is like a molecule-carrier of information and the cell can understand the virus engineering, then"
"429","@StevenFalk1 @wildflower_hour @greenroofsuk @wobblygreen @fungi_flowers There's a great one for Speedwells too
https://t.co/LGhZ0zCJdX"
"430","@KGeorgieva First to ""protect health and lives"" with Covid and now ""to protect the environment"" with climate change. How much more wealth the wealthy will gain from this? Should we expect climate taxes, mandates and lockdowns next?"
"431","@EricHolthaus Got to love how you are concerned with storm chasers yet we have a crisis of illegal aliens invading our Southern border. That should be a concern as the southern poverty you speak of is being made worse by this."
"432","@SenSanders Republicans want poverty. Against this yet for the tax cuts to the rich. Like Ive said; The GOP is the problem in this country...."
"433","@glizzymami @NYGovCuomo I dont support Trump. I love freedom,l too much. So stay in your lane"
"434","@GretaThunberg DOTS on, school strikers!
https://t.co/LqqS3ZvD8A"
"435","@GovInslee Sounds like more wasted government oversight."
"436","@Bozaster @planetofdub @GretaThunberg Nope. Just speak some french, thats why I asked."
"437","@antonioguterres We complain to God, then to you from Martin Griffith and the great tendencies of Houthi terrorism, and we hope that you and his aides will feel the same."
"438","@lsblack73 @hroofitz @DaRealNickBezz @asimplefoolblog @AOC Oh no?!!!?!? Youre on fire Karen!!!"
"439","@VDombrovskis @EU_Commission #DynClu
Mme lorsque les couples essaient de vivre en paix, ils ne parviennent pas  contrler leur colre, ce qui les conduit finalement  prendre une mauvaise dcision, appele divo https://t.co/WA8d4vS4rf"
"440","@GretaThunberg https://t.co/xXfyM7C8vT"
"441","@CarolineLucas How many MPs do you have, I dont care either way we leave, with or without a deal"
"442","@LeoDiCaprio @CarbonBrief Cool"
"443","@GretaThunberg facts"
"444","@GovInslee You clowns seriously crack me up. Your mandates this year have increased plastic use and waste to historic highs. Plastic companies are producing recprd amounts of plastic utensils, shields and condiment holders because we apparently can't sanitize a ketchup bottle. "
"445","@GretaThunberg production is not the problem, you must understand the seed behind it all, and that is sin."
"446","@mantharahmed231 @BillGates your asking the wrong person for help"
"447","@Stockfttp @cadlam @MikeHudema As long as renewables means hydro. You can't replace coal with wind"
"448","@MikeBloomberg @sciam @JoeBiden Please buy Fox News and clean house! They are disgusting!!"
"449","@AliDriverUK Why is it that we always think that we know better? Yes we're the ones that are quickly destroying the environment but Earth got on very well without us for millennia and can do a far better job at fixing itself than us. We just need to stop doing the things that do the damage"
"450","@BillGates Great innovation.... "
"451","@SisselWLarsen @MikeHudema Cant let perfect be the enemy of good."
"452","@GretaThunberg While we need to do things like stopping habitat destruction and more recycling, humanity needs to scale back our reproduction, we are supposed  to share the planet not dominate it, less humans demanding homes or living in crowded squalor can't be a bad thing."
